analysis_neighborhood,year,median_value,mean_value,total_units,parcel_count,median_stories,median_bedrooms,median_year_built,pct_residential,is_soma,is_potrero_hill,is_hayes_valley,is_civic_center,post_van_ness,log_median_value,density,building_age,crime_rate,violent_rate,property_rate,median_hh_income,log_income,post_soma_dev,soma_x_post,potrero_x_post,van_ness_treated,van_ness_x_post
Japantown,2009,159254.0,722758.1748571428,2534.0,875,0.0,0.0,1988.0,0.8262857142857143,0,0,0,0,0,11.978255690858369,2.896,21.0,,,,,,0,0,0,0,0
Japantown,2010,160564.5,721152.0308924485,2534.0,874,0.0,0.0,1988.0,0.8272311212814645,0,0,0,0,0,11.986451009983304,2.8993135011441646,22.0,,,,,,0,0,0,0,0
Japantown,2011,162920.0,728390.2265446224,2533.0,874,0.0,0.0,1988.0,0.8272311212814645,0,0,0,0,0,12.001014561762348,2.898169336384439,23.0,,,,,,0,0,0,0,0
Japantown,2012,166177.0,766605.6739130435,2533.0,874,0.0,0.0,1988.0,0.8272311212814645,0,0,0,0,0,12.020808764342096,2.898169336384439,24.0,,,,,,0,0,0,0,0
Japantown,2013,169499.0,802773.1470923603,2529.0,877,0.0,0.0,1988.0,0.8278221208665907,0,0,0,0,0,12.040602306080224,2.8836944127708097,25.0,,,,,,0,0,0,0,0
Japantown,2015,182589.0,869286.3359908884,2551.0,878,0.0,0.0,1988.0,0.8280182232346242,0,0,0,0,1,12.11499300436459,2.9054669703872436,27.0,,,,,,1,0,0,0,0
Japantown,2016,182411.0,896332.375,2553.0,880,0.0,0.0,1988.0,0.8272727272727273,0,0,0,0,1,12.114017661821517,2.901136363636364,28.0,,,,,,1,0,0,0,0
Japantown,2017,197171.5,965767.6909090909,2552.0,880,0.0,0.0,1988.0,0.8272727272727273,0,0,0,0,1,12.191829187379598,2.9,29.0,,,,,,1,0,0,0,0
Japantown,2018,209500.0,1029961.8329545455,2553.0,880,0.0,0.0,1988.0,0.8272727272727273,0,0,0,0,1,12.25247901834433,2.901136363636364,30.0,279.4715447154472,11.941056910569106,197.91666666666663,,,1,0,0,0,0
Japantown,2019,215864.0,1003652.9477866061,2479.0,881,0.0,0.0,1988.0,0.8286038592508513,0,0,0,0,1,12.282403858736696,2.8138479001135073,31.0,319.6138211382114,15.24390243902439,226.3719512195122,,,1,0,0,0,0
Japantown,2020,290562.0,1046898.8728717366,2479.0,881,0.0,0.0,1988.0,0.8286038592508513,0,0,0,0,1,12.579572257631288,2.8138479001135073,32.0,177.59146341463415,9.654471544715449,125.0,,,1,0,0,0,0
Japantown,2021,293699.0,1047248.3920454546,2407.0,880,0.0,0.0,1988.0,0.8284090909090909,0,0,0,0,1,12.59031071234605,2.735227272727273,33.0,231.96138211382112,12.44918699186992,161.58536585365854,,,1,0,0,0,0
Japantown,2022,299704.0,1074953.6061293983,2405.0,881,0.0,0.0,1988.0,0.8286038592508513,0,0,0,0,1,12.610550599895701,2.7298524404086266,34.0,308.4349593495935,15.7520325203252,226.11788617886177,,,1,0,0,0,0
Japantown,2023,307430.0,1119839.814982974,2405.0,881,0.0,0.0,1988.0,0.8286038592508513,0,0,0,0,1,12.636002698037851,2.7298524404086266,35.0,228.65853658536585,15.7520325203252,156.25,,,1,0,0,0,0
Lakeshore,2009,440689.0,4300846.809364549,3857.0,299,1.0,0.0,1975.0,0.7759197324414716,0,0,0,0,0,12.996094690228118,12.899665551839465,34.0,,,,,,0,0,0,0,0
Lakeshore,2010,455153.0,4623553.682119206,4148.0,302,1.0,0.0,1975.0,0.7748344370860927,0,0,0,0,0,13.028388905145372,13.735099337748345,35.0,,,,,,0,0,0,0,0
Lakeshore,2012,428400.0,4783312.647840532,4147.0,301,1.0,0.0,1975.0,0.7740863787375415,0,0,0,0,0,12.967812617555731,13.777408637873755,37.0,,,,,,0,0,0,0,0
Lakeshore,2013,485000.0,4912133.6777408635,4147.0,301,1.0,0.0,1975.0,0.7740863787375415,0,0,0,0,0,13.091904169919621,13.777408637873755,38.0,,,,,,0,0,0,0,0
Lakeshore,2015,434629.0,3704710.419047619,4149.0,420,1.0,0.0,1975.0,0.7452380952380953,0,0,0,0,1,12.98224807260402,9.878571428571428,40.0,,,,,,1,0,0,0,0
Lakeshore,2016,609159.0,3502425.0965665234,4147.0,466,1.0,0.0,1975.0,0.8562231759656652,0,0,0,0,1,13.319834596359447,8.899141630901287,41.0,,,,,,1,0,0,0,0
Lakeshore,2017,747498.0,3550226.474120083,4147.0,483,1.0,0.0,1975.0,0.8612836438923396,0,0,0,0,1,13.524486908658115,8.58592132505176,42.0,,,,,,1,0,0,0,0
Lakeshore,2018,1045602.0,3739372.0910973083,4147.0,483,1.0,0.0,1975.0,0.8612836438923396,0,0,0,0,1,13.860103354067673,8.58592132505176,43.0,134.2873783176637,10.067393293951245,82.53598469090606,,,1,0,0,0,0
Lakeshore,2019,1109571.0,3941371.8612244898,3611.0,490,1.0,0.0,1975.0,0.8612244897959184,0,0,0,0,1,13.919484012096879,7.369387755102041,44.0,150.0124802396206,9.401780514185871,94.51701472668276,,,1,0,0,0,0
Lakeshore,2020,1153869.0,4120059.044989775,3611.0,489,1.0,0.0,1975.0,0.8629856850715747,0,0,0,0,1,13.95863120140893,7.384458077709612,45.0,100.5075297445711,8.07055495465513,57.159497462351275,,,1,0,0,0,0
Lakeshore,2021,1181000.0,4259668.282208589,3611.0,489,1.0,0.0,1975.0,0.8629856850715747,0,0,0,0,1,13.981872095179499,7.384458077709612,46.0,126.13362176553792,11.814626840835343,71.05416423995341,,,1,0,0,0,0
Lakeshore,2022,1224655.0,4242859.997950819,3611.0,488,1.0,0.0,1975.0,0.8647540983606558,0,0,0,0,1,14.01816972964198,7.399590163934426,47.0,159.24785755886515,8.236958149596472,105.16681920292868,,,1,0,0,0,0
Lakeshore,2023,1256204.0,4416808.0245901635,3611.0,488,1.0,0.0,1975.0,0.8647540983606558,0,0,0,0,1,14.043605033203685,7.399590163934426,48.0,160.16307513104252,12.64664281554206,97.8450786255096,,,1,0,0,0,0
Lincoln Park,2009,399610.0,751881.0731707317,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,0,12.89824435046844,1.4634146341463414,62.0,,,,,,0,0,0,0,0
Lincoln Park,2010,398663.0,750486.268292683,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,0,12.895871727457894,1.4634146341463414,63.0,,,,,,0,0,0,0,0
Lincoln Park,2011,401660.0,796777.0243902439,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,0,12.90336123859067,1.4634146341463414,64.0,,,,,,0,0,0,0,0
Lincoln Park,2012,409690.0,975499.3170731707,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,0,12.923156055133589,1.4634146341463414,65.0,,,,,,0,0,0,0,0
Lincoln Park,2013,417882.0,827201.0,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,0,12.942954375002977,1.4634146341463414,66.0,,,,,,0,0,0,0,0
Lincoln Park,2015,466888.0,884937.0,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,1,13.053844679193745,1.4634146341463414,68.0,,,,,,1,0,0,0,0
Lincoln Park,2016,482490.0,926185.3658536585,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,1,13.086715474157803,1.4634146341463414,69.0,,,,,,1,0,0,0,0
Lincoln Park,2017,542588.0,974020.9512195121,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,1,13.204105563223377,1.4634146341463414,70.0,,,,,,1,0,0,0,0
Lincoln Park,2018,557921.0,1046192.8048780488,60.0,41,2.0,0.0,1947.0,1.0,0,0,0,0,1,13.231972654279538,1.4634146341463414,71.0,854.7486033519554,5.58659217877095,653.6312849162011,,,1,0,0,0,0
