analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Financial District/South Beach,2018,12389,834,7377,17047.0,997806.0,8715.0,0.8796328169822146,13.8133141476201,1.9560527825588065,24519.0,48495.0,109012.0,311.0,49893.0,90057.72984356197,11.408206186382206,505.2816183368001,34.01443778294384,300.86871405848524,1.9778539092132632,4.446021452750927,0.012684040947836372,2.034870916432155,1
Financial District/South Beach,2019,11681,853,6924,17909.0,1047956.0,8983.0,0.8723143715907826,13.862352158248916,1.9936546810642324,24519.0,48495.0,109012.0,311.0,49893.0,95546.65451609182,11.46736993614171,476.4060524491211,34.78934703699172,282.3932460540805,1.9778539092132632,4.446021452750927,0.012684040947836372,2.034870916432155,1
Financial District/South Beach,2020,6698,486,3666,17739.0,1092420.0,8976.0,0.8724376114081996,13.903905976726065,1.9762700534759359,24519.0,48495.0,109012.0,311.0,49893.0,120791.50364238412,11.70182122792307,273.17590440066886,19.821363024593172,149.5167013336596,1.9778539092132632,4.446021452750927,0.012684040947836372,2.034870916432155,1
Financial District/South Beach,2021,7658,536,4194,17747.0,1084000.0,9510.0,0.8800210304942166,13.896168460981729,1.8661409043112513,24519.0,48495.0,109012.0,311.0,49893.0,122617.85585287052,11.716827935051175,312.3292140788776,21.860597903666545,171.0510216566744,1.9778539092132632,4.446021452750927,0.012684040947836372,2.034870916432155,1
Financial District/South Beach,2022,8097,574,4746,16840.0,1159262.0,9640.0,0.8626556016597511,13.96329415372051,1.7468879668049793,24519.0,48495.0,109012.0,311.0,49893.0,135563.57436433298,11.817195992770342,330.23369631714183,23.41041641176231,193.56417472164443,1.9778539092132632,4.446021452750927,0.012684040947836372,2.034870916432155,1
Financial District/South Beach,2023,7218,622,4001,17391.0,1169742.0,9637.0,0.8669710490816644,13.972293769636899,1.8046072429179205,24519.0,48495.0,109012.0,311.0,49893.0,130285.93413870246,11.777486807467842,294.38394714303195,25.368081895672745,163.1795750234512,1.9778539092132632,4.446021452750927,0.012684040947836372,2.034870916432155,1
Glen Park,2018,691,56,389,3490.0,544460.0,2923.0,0.9798152582962709,13.20754975676505,1.1939787889154978,8458.0,24441.0,40220.0,590.0,6391.0,,,81.69780089855757,6.620950579333176,45.991960274296524,2.8896902340978956,4.755261291085363,0.06975644360368881,0.7556159848663987,0
Glen Park,2019,702,31,424,3487.0,571910.0,2927.0,0.9798428425008541,13.256736915324938,1.191322172873249,8458.0,24441.0,40220.0,590.0,6391.0,,,82.99834476235516,3.6651690707022935,50.13005438637976,2.8896902340978956,4.755261291085363,0.06975644360368881,0.7556159848663987,0
Glen Park,2020,713,63,432,3485.0,602855.0,2927.0,0.9798428425008541,13.309431982448194,1.1906388793987017,8458.0,24441.0,40220.0,590.0,6391.0,,,84.29888862615276,7.448569401749823,51.07590446914164,2.8896902340978956,4.755261291085363,0.06975644360368881,0.7556159848663987,0
Glen Park,2021,723,49,455,3481.0,637283.0,2929.0,0.9795151928986002,13.364969105911296,1.1884602253328782,8458.0,24441.0,40220.0,590.0,6391.0,,,85.4812012296051,5.793331756916529,53.79522345708206,2.8896902340978956,4.755261291085363,0.06975644360368881,0.7556159848663987,0
Glen Park,2022,748,50,472,3483.0,676239.5,2932.0,0.9798772169167803,13.424302582220069,1.1879263301500682,8458.0,24441.0,40220.0,590.0,6391.0,,,88.43698273823598,5.911563017261764,55.80515488295106,2.8896902340978956,4.755261291085363,0.06975644360368881,0.7556159848663987,0
Glen Park,2023,738,43,464,3485.0,709952.0,2932.0,0.980218281036835,13.472952641098331,1.1886084583901773,8458.0,24441.0,40220.0,590.0,6391.0,,,87.25467013478364,5.083944194845118,54.85930480018917,2.8896902340978956,4.755261291085363,0.06975644360368881,0.7556159848663987,0
Golden Gate Park,2018,2033,88,1115,42.0,2244981.5,2.0,0.5,14.624207838590017,21.0,25.0,0.0,0.0,0.0,0.0,,,81320.0,3520.0,44600.0,0.0,0.0,0.0,0.0,0
Golden Gate Park,2019,1935,86,1156,42.0,2289879.0,2.0,0.5,14.644009535706475,21.0,25.0,0.0,0.0,0.0,0.0,,,77400.0,3440.0,46240.0,0.0,0.0,0.0,0.0,0
Golden Gate Park,2020,1385,57,884,42.0,2335674.0,2.0,0.5,14.663811058397057,21.0,25.0,0.0,0.0,0.0,0.0,,,55400.0,2280.0,35360.0,0.0,0.0,0.0,0.0,0
